"Name","Position","Age","Height","Weight","Inf","Club","Division","Nationality","Home-Grown","Personality","Media Handling","Wage","Transfer Value","Asking Price","Preferred Foot","Starts","Minutes Played","Average Rating","Sub Appearances","Minutes/Game","index","Tackles Attempted","Tackles Attempted/90","Tackles Completed","Tackles Completed/90","Tackles Failed","Tackle Completion %","Tackles Failed/90","Key Tackles","Key Tackles/90","Tackle Quality","Interceptions","Interceptions/90","Blocks","Blocks/90","Shots Blocked","Shots Blocked/90","Headers Attempted","Headers Attempted/90","Headers Won","Headers Won/90","Headers Won %","Headers Lost","Headers Lost/90","Headers Lost %","Key Headers","Key Headers/90","Aerial Challenges Attempted/90","Duels Win %","Fouls Against","Fouls Made","Net Fouls","Fouls Won/90","Fouls Committed/90","Clearances","Clearances/90","Red Cards","Yellow Cards","Yellows/Tackle","Reds/Tackle","Yellows/90","Reds/90","Player of the Match","Mistakes Leading to Goal","Sprints/90","Attacking Actions/90","Creative Actions/90","Defensive Actions/90","Goalkeeping Actions/90","Excitement Factor/90","General Performance","Goalkeeping","Defensive Defender","Creative Defender","Attacking Defender","Creative Midfielder","Attacking Midfielder","Creative Winger","Attacking Winger","Creative Forward","Attacking Forward","Finisher","Aerial Threat","Reader","Assister"
"Léo Pereira","D (C)",27,"188 cm","84 kg","-","FLA","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$10,000 p/w","$350K - $9.4M","-","Left Only",60,5164,6.9,3,81.97,137,111,1.93,78,1.36,33,70,0.58,11,0.19,1.88,99,1.73,22,0.38,25,0.44,369,6.43,261,4.55,70.73,108,1.88,29.27,45,0.78,6.43,70.63,18,59,41,0.31,1.03,39,0.68,1,17,0.15,0.01,0.3,0.02,2,1,5.56,0.57,0.38,16.68,0,1.08,77,100,9,55,64,51,54,58,54,46,44,37,55,38,90
"Eduardo Bauermann","D (C)",27,"187 cm","85 kg","-","Athlético Paranaense","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$12,500 p/w","$12M - $15.5M","-","Right",19,1691,7,1,84.55,138,22,1.17,20,1.06,2,91,0.11,5,0.27,3.67,41,2.18,10,0.53,8,0.43,92,4.9,57,3.03,61.96,35,1.86,38.04,11,0.59,4.9,67.54,3,6,3,0.16,0.32,24,1.28,0,1,0.05,0,0.05,0,0,0,8.14,0.38,0.8,15.53,0,1.44,47,100,53,56,49,36,12,34,38,42,23,2,25,27,54
"Nogueira","D (C)",28,"187 cm","82 kg","-","Desp. Chaves","Liga Portugal Betclic","BRA","-","-","Scouting Required","$2,400 p/w","$150K - $1.5M","-","Right",18,1665,6.91,1,87.63,139,40,2.16,29,1.57,11,73,0.59,0,0,4.44,45,2.43,17,0.92,9,0.49,120,6.49,84,4.54,70,36,1.95,30,12,0.65,6.49,70.63,3,9,6,0.16,0.49,43,2.32,0,2,0.05,0,0.11,0,0,0,5.19,0.51,0.32,17.33,0,0.86,23,100,64,34,46,20,40,9,31,26,44,75,47,53,0
"Marcelo Benevenuto","D (C)",27,"180 cm","78 kg","-","CTB","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$7,000 p/w","$750K - $7.4M","-","Right Only",46,4079,6.87,1,86.79,140,67,1.48,46,1.01,21,69,0.46,13,0.29,2.68,76,1.68,28,0.62,35,0.77,297,6.55,220,4.85,74.07,77,1.7,25.93,30,0.66,6.55,73.08,4,25,21,0.09,0.55,60,1.32,0,5,0.07,0,0.11,0,1,0,5.19,0.42,0.38,17.85,0,1.15,41,100,40,25,10,51,48,41,29,27,39,51,52,46,44
"Fabrício Bruno","D (C)",27,"190 cm","83 kg","-","FLA","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$13,500 p/w","$5.8M - $11.5M","-","Right",39,3391,6.88,6,75.36,141,52,1.38,49,1.3,3,94,0.08,14,0.37,1.73,66,1.75,22,0.58,24,0.64,252,6.69,176,4.67,69.84,76,2.02,30.16,28,0.74,6.69,74.01,7,30,23,0.19,0.8,25,0.66,1,6,0.12,0.02,0.16,0.03,0,2,6.02,0.44,0.35,18.54,0,1.14,85,100,70,39,59,59,56,54,37,38,44,48,55,55,72
"Issa Diop","D (C)",26,"194 cm","92 kg","-","Fulham","Premier League","FRA (SEN)","-","-","Scouting Required","$81,000 p/w","$22M - $29M","-","Right Only",15,1379,6.9,1,86.19,142,17,1.11,16,1.04,1,94,0.07,6,0.39,1.7,33,2.15,9,0.59,6,0.39,118,7.7,98,6.4,83.05,20,1.31,16.95,19,1.24,7.7,84.44,1,10,9,0.07,0.65,18,1.17,0,2,0.12,0,0.13,0,0,1,4.31,0.69,0.13,23.51,0,0.98,33,100,88,18,40,38,59,25,33,23,53,81,91,95,64
"Robson Bambu","D (C)",26,"185 cm","72 kg","-","Arouca","Liga Portugal Betclic","BRA","-","-","Scouting Required","$4,200 p/w","$40K - $400K","-","Right",14,1189,6.69,2,74.31,143,20,1.51,14,1.06,6,70,0.45,7,0.53,2.22,17,1.29,7,0.53,5,0.38,100,7.57,73,5.53,73,27,2.04,27,21,1.59,7.57,72.5,1,9,8,0.08,0.68,23,1.74,0,1,0.05,0,0.08,0,0,2,3.33,0.15,0.23,26.24,0,0.53,19,100,40,11,20,17,15,20,15,18,16,21,90,73,17
"Leonardo Realpe","D (C)",22,"186 cm","79 kg","-","RB Bragantino","Campeonato Brasileiro Série A Assaí","ECU","-","-","Scouting Required","$7,750 p/w","$300K - $3.1M","-","Right",50,4371,6.78,1,85.71,144,67,1.38,44,0.91,23,66,0.47,14,0.29,2.58,83,1.71,21,0.43,42,0.86,314,6.47,197,4.06,62.74,117,2.41,37.26,40,0.82,6.47,63.25,8,26,18,0.16,0.54,49,1.01,0,2,0.03,0,0.04,0,1,0,4.9,0.21,0.27,17.58,0,0.64,62,100,12,33,20,27,23,27,10,14,10,9,53,43,42
"Zé Ivaldo","D (C)",26,"185 cm","78 kg","Wnt","CEC","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$7,000 p/w","$2.7M","$2.7M","Right Only",21,1822,6.72,0,86.76,145,27,1.33,24,1.19,3,89,0.15,8,0.4,2.08,42,2.07,16,0.79,15,0.74,136,6.72,86,4.25,63.24,50,2.47,36.76,22,1.09,6.72,67.48,3,13,10,0.15,0.64,27,1.33,0,2,0.07,0,0.1,0,0,0,5.88,0.41,0.25,22.19,0,1.43,22,100,93,20,17,31,30,18,18,17,28,52,68,89,17
"Juninho","D (C)",28,"187 cm","80 kg","-","FC Midtjylland","3F Superliga","BRA","-","-","Scouting Required","$10,750 p/w","$1.3M - $2.9M","-","Left",11,1142,6.83,7,63.44,146,24,1.89,18,1.42,6,75,0.47,6,0.47,1.85,30,2.36,9,0.71,7,0.55,78,6.15,52,4.1,66.67,26,2.05,33.33,10,0.79,6.15,68.63,2,13,11,0.16,1.02,11,0.87,0,3,0.13,0,0.24,0,0,0,8.51,0.77,1.18,20.93,0,2.44,36,100,52,82,64,54,40,68,67,65,60,9,50,86,92
