"Name","Position","Age","Height","Weight","Inf","Club","Division","Nationality","Home-Grown","Personality","Media Handling","Wage","Transfer Value","Asking Price","Preferred Foot","Starts","Minutes Played","Average Rating","Sub Appearances","Minutes/Game","index","Tackles Attempted","Tackles Attempted/90","Tackles Completed","Tackles Completed/90","Tackles Failed","Tackle Completion %","Tackles Failed/90","Key Tackles","Key Tackles/90","Tackle Quality","Interceptions","Interceptions/90","Blocks","Blocks/90","Shots Blocked","Shots Blocked/90","Headers Attempted","Headers Attempted/90","Headers Won","Headers Won/90","Headers Won %","Headers Lost","Headers Lost/90","Headers Lost %","Key Headers","Key Headers/90","Aerial Challenges Attempted/90","Duels Win %","Fouls Against","Fouls Made","Net Fouls","Fouls Won/90","Fouls Committed/90","Clearances","Clearances/90","Red Cards","Yellow Cards","Yellows/Tackle","Reds/Tackle","Yellows/90","Reds/90","Player of the Match","Mistakes Leading to Goal","Sprints/90","Attacking Actions/90","Creative Actions/90","Defensive Actions/90","Goalkeeping Actions/90","Excitement Factor/90","General Performance","Goalkeeping","Defensive Defender","Creative Defender","Attacking Defender","Creative Midfielder","Attacking Midfielder","Creative Winger","Attacking Winger","Creative Forward","Attacking Forward","Finisher","Aerial Threat","Reader","Assister"
"Akin Famewo","D (C)",25,"188 cm","85 kg","-","Sheffield Wednesday","Sky Bet Championship","ENG (NGA)","Trained in nation (15-21)","Balanced","Media-friendly","$10,000 p/w","$1.5M - $3.2M","-","Left Only",24,2160,6.98,0,90,271,46,1.92,36,1.5,10,78,0.42,11,0.46,4.6,50,2.08,15,0.62,8,0.33,186,7.75,107,4.46,57.53,79,3.29,42.47,16,0.67,7.75,61.64,1,10,9,0.04,0.42,42,1.75,0,5,0.11,0,0.21,0,0,0,5.12,0.55,0.83,19.74,0,1.83,52,100,94,65,31,61,43,50,49,55,45,40,55,71,65
"Jordan Storey","D (C)",26,"186 cm","75 kg","-","Preston","Sky Bet Championship","ENG","Trained in nation (15-21)","-","Scouting Required","$7,500 p/w","$275K - $2.6M","-","Right",16,1436,6.71,6,65.27,272,31,1.94,24,1.5,7,77,0.44,6,0.38,4.43,30,1.88,15,0.94,9,0.56,103,6.46,72,4.51,69.9,31,1.94,30.1,13,0.81,6.46,71.64,2,7,5,0.13,0.44,15,0.94,0,1,0.03,0,0.06,0,0,0,5.77,0.25,0.25,19.69,0,0.75,26,100,73,34,30,7,3,20,12,18,4,10,58,59,0
"Lewis Gibson","D (C)",23,"185 cm","81 kg","-","Plymouth","Sky Bet Championship","ENG","Trained in nation (15-21)","-","Scouting Required","$9,250 p/w","$4.2M - $8.6M","-","Left",25,2151,6.92,0,86.04,273,34,1.42,28,1.17,6,82,0.25,9,0.38,8.5,38,1.59,22,0.92,12,0.5,166,6.95,123,5.15,74.1,43,1.8,25.9,28,1.17,6.95,75.5,0,4,4,0,0.17,31,1.3,0,1,0.03,0,0.04,0,0,0,5.98,0.5,0.54,22.51,0,1.13,62,100,74,55,68,47,47,58,57,61,54,49,78,72,77
"Dion Sanderson","D (C)",24,"188 cm","78 kg","-","Birmingham","Sky Bet Championship","ENG","Trained in nation (15-21)","-","Scouting Required","$12,500 p/w","$325K - $3.2M","-","Right",25,2250,6.7,0,90,274,30,1.2,23,0.92,7,77,0.28,2,0.08,1.2,30,1.2,14,0.56,12,0.48,159,6.36,102,4.08,64.15,57,2.28,35.85,16,0.64,6.36,66.14,1,25,24,0.04,1,33,1.32,0,5,0.17,0,0.2,0,0,0,3.96,0.46,0.28,13.95,0,1,21,100,10,31,39,14,25,33,18,11,13,27,40,3,0
"Harry Darling","D (C)",24,"188 cm","84 kg","-","Swansea","Sky Bet Championship","ENG","Trained in nation (15-21)","-","Scouting Required","$19,000 p/w","$850K - $8.6M","-","Right",26,2256,6.84,0,86.77,275,31,1.24,22,0.88,9,71,0.36,2,0.08,2.21,35,1.4,16,0.64,14,0.56,148,5.9,112,4.47,75.68,36,1.44,24.32,16,0.64,5.9,74.86,3,14,11,0.12,0.56,30,1.2,1,2,0.06,0.03,0.08,0.04,1,1,5.23,0.56,0.2,14.95,0,0.72,42,100,10,25,34,55,76,60,61,66,60,82,41,9,28
"Nathan Wood","D (C)",21,"188 cm","81 kg","-","Swansea","Sky Bet Championship","ENG","Trained in nation (15-21)","-","Scouting Required","$14,000 p/w","$650K - $6.2M","-","Right",10,973,6.91,10,48.65,276,28,2.59,19,1.76,9,68,0.83,6,0.55,3.5,18,1.66,6,0.55,3,0.28,77,7.12,50,4.62,64.94,27,2.5,35.06,7,0.65,7.12,65.71,0,8,8,0,0.74,18,1.66,0,1,0.04,0,0.09,0,0,0,5.46,0.57,0.55,20.48,0,1.02,37,100,81,69,57,32,48,43,53,27,38,20,53,64,17
"Andrew Omobamidele","D (C)",21,"190 cm","85 kg","-","Nottm Forest","Premier League","IRL (NGA)","Trained in nation (15-21)","Fairly Determined","Level-headed","$50,000 p/w","$24M - $30M","-","Right",20,1755,6.98,0,87.75,277,31,1.59,23,1.18,8,74,0.41,5,0.26,5.17,44,2.26,15,0.77,12,0.62,116,5.95,67,3.44,57.76,49,2.51,42.24,18,0.92,5.95,61.22,3,6,3,0.15,0.31,19,0.97,0,1,0.03,0,0.05,0,2,0,2.92,0.73,0.41,18.11,0,1.13,59,100,43,42,53,60,73,55,65,69,66,83,50,52,54
"Gerrit Nauber","D (C)",31,"185 cm","74 kg","-","Go Ahead Eagles","Eredivisie","GER","-","-","Scouting Required","$2,100 p/w","$160K - $1.6M","-","Right",16,1470,6.72,1,86.47,278,22,1.35,17,1.04,5,77,0.31,8,0.49,3.14,22,1.35,8,0.49,7,0.43,120,7.35,90,5.51,75,30,1.84,25,17,1.04,7.35,75.35,0,7,7,0,0.43,20,1.22,0,0,0,0,0,0,0,0,4.65,0.42,0.06,21.51,0,1.04,12,100,42,3,8,23,39,8,10,5,30,57,79,58,0
"Dimitris Goutas","D (C)",29,"193 cm","81 kg","-","Cardiff","Sky Bet Championship","GRE","-","-","Scouting Required","$7,500 p/w","$65K - $650K","-","Right",21,1844,6.65,1,83.82,279,40,1.95,28,1.37,12,70,0.59,4,0.2,2,28,1.37,9,0.44,6,0.29,168,8.2,114,5.56,67.86,54,2.64,32.14,17,0.83,8.2,68.27,1,20,19,0.05,0.98,39,1.9,0,3,0.08,0,0.15,0,0,0,5.03,0.13,0.15,18.97,0,0.44,2,100,17,1,3,0,0,1,0,2,0,0,74,36,0
"Wesley Hoedt","D (C)",29,"192 cm","77 kg","-","Watford","Sky Bet Championship","NED","-","-","Scouting Required","$21,500 p/w","$4.2M - $8.6M","-","Left Only",25,2237,6.71,0,89.48,280,41,1.65,26,1.05,15,63,0.6,9,0.36,1.95,40,1.61,14,0.56,11,0.44,195,7.85,137,5.51,70.26,58,2.33,29.74,29,1.17,7.85,69.07,2,21,19,0.08,0.84,23,0.93,0,3,0.07,0,0.12,0,1,2,7.52,0.48,0.2,21.5,0,1.45,23,100,23,19,18,33,32,31,24,22,34,67,85,72,17
"Mike van der Hoorn","D (C)",31,"190 cm","82 kg","Wnt","FC Utrecht","Eredivisie","NED","-","-","Scouting Required","$5,250 p/w","$550K - $1.7M","-","Right Only",16,1419,6.76,0,88.69,281,26,1.65,17,1.08,9,65,0.57,7,0.44,1.37,18,1.14,10,0.63,6,0.38,147,9.32,118,7.48,80.27,29,1.84,19.73,36,2.28,9.32,78.03,0,19,19,0,1.21,37,2.35,0,1,0.04,0,0.06,0,0,1,4,0.19,0.19,32.83,0,0.95,11,100,49,2,15,11,10,5,6,9,14,38,99,75,0
"Sven van Beek","D (C)",29,"188 cm","78 kg","Inj","sc Heerenveen","Eredivisie","NED","-","-","Scouting Required","$4,300 p/w","$550K - $5.6M","-","Right Only",16,1445,6.88,0,90.31,282,22,1.37,18,1.12,4,82,0.25,5,0.31,3.67,22,1.37,10,0.62,7,0.44,95,5.92,73,4.55,76.84,22,1.37,23.16,16,1,5.92,77.78,0,6,6,0,0.37,15,0.93,0,1,0.05,0,0.06,0,0,0,4.67,0.17,0.19,19.28,0,0.5,12,100,49,46,23,19,20,27,6,9,7,3,62,42,35
"Damon Mirani","D (C)",27,"183 cm","79 kg","-","FC Volendam","Eredivisie","NED","-","-","Scouting Required","$1,600 p/w","$40K - $375K","-","Right",16,1508,6.72,2,83.78,283,20,1.19,17,1.01,3,85,0.18,5,0.3,6.67,26,1.55,11,0.66,10,0.6,83,4.95,56,3.34,67.47,27,1.61,32.53,12,0.72,4.95,70.87,2,3,1,0.12,0.18,30,1.79,0,0,0,0,0,0,0,0,3.82,0.23,0.12,16.48,0,0.54,1,100,46,3,2,2,6,2,3,1,5,18,34,15,0
"Danilho Doekhi","D (C)",25,"190 cm","86 kg","-","Union Berlin","Bundesliga","NED (SUR)","-","-","Scouting Required","$39,500 p/w","$6M - $9.4M","-","Right",13,1224,6.63,6,64.42,284,35,2.57,30,2.21,5,86,0.37,4,0.29,5,16,1.18,7,0.51,5,0.37,121,8.9,89,6.54,73.55,32,2.35,26.45,25,1.84,8.9,76.28,1,7,6,0.07,0.51,8,0.59,0,1,0.03,0,0.07,0,1,0,7.28,0.72,0.96,27.15,0,3.16,57,100,56,46,56,40,33,47,57,47,46,23,97,76,71
"Mats Knoester","D (C)",25,"188 cm","76 kg","-","AGF","3F Superliga","NED","-","-","Scouting Required","$4,200 p/w","$40K - $375K","-","Left Only",19,1680,6.86,0,88.42,285,35,1.88,33,1.77,2,94,0.11,10,0.54,11.67,22,1.18,12,0.64,6,0.32,130,6.96,91,4.88,70,39,2.09,30,8,0.43,6.96,75.15,1,3,2,0.05,0.16,35,1.87,0,0,0,0,0,0,0,0,9.43,0.42,0.54,18.88,0,1.39,62,100,94,42,62,24,9,44,31,37,16,2,40,40,43
"Matthijs de Ligt","D (C)",24,"189 cm","89 kg","-","FC Bayern","Bundesliga","NED","-","Professional","Reserved","$325,000 p/w","$126M - $159M","-","Right",13,1254,6.87,5,69.67,286,20,1.44,15,1.08,5,75,0.36,2,0.14,1.54,28,2.01,1,0.07,1,0.07,106,7.61,73,5.24,68.87,33,2.37,31.13,6,0.43,7.61,69.84,0,13,13,0,0.93,6,0.43,0,4,0.2,0,0.29,0,0,1,5.89,0.59,0.29,13.25,0,1.29,33,100,14,64,58,47,57,38,29,20,40,49,47,22,0
"Justin Hoogma","D (C)",25,"190 cm","81 kg","-","Heracles Almelo","Eredivisie","NED","-","-","Scouting Required","$4,300 p/w","$180K - $1.8M","-","Left",18,1620,6.92,0,90,287,20,1.11,16,0.89,4,80,0.22,5,0.28,2.5,23,1.28,8,0.44,6,0.33,108,6,80,4.44,74.07,28,1.56,25.93,12,0.67,6,75,3,8,5,0.17,0.44,12,0.67,0,1,0.05,0,0.06,0,0,0,2.89,0.31,0.33,15.24,0,0.83,40,100,18,34,25,47,42,45,29,45,28,47,45,8,28
"Perr Schuurs","D (C)",24,"191 cm","87 kg","Inj","Torino","Serie A TIM","NED","-","-","Scouting Required","$46,000 p/w","$12M - $15M","-","Right",14,1244,6.94,0,88.86,288,35,2.53,25,1.81,10,71,0.72,7,0.51,5.83,25,1.81,8,0.58,4,0.29,96,6.95,70,5.06,72.92,26,1.88,27.08,3,0.22,6.95,72.52,1,6,5,0.07,0.43,14,1.01,0,5,0.14,0,0.36,0,0,0,5.35,0.59,0.58,16.9,0,1.45,65,100,63,71,74,70,69,66,70,61,73,55,34,38,28
"Sam Beukema","D (C)",25,"188 cm","77 kg","-","Bologna","Serie A TIM","NED","-","-","Scouting Required","$18,500 p/w","$9.4M - $15M","-","Right Only",19,1770,7.07,0,93.16,289,24,1.22,20,1.02,4,83,0.2,8,0.41,2,41,2.08,9,0.46,7,0.36,125,6.36,96,4.88,76.8,29,1.47,23.2,12,0.61,6.36,77.85,3,12,9,0.15,0.61,19,0.97,0,4,0.17,0,0.2,0,2,1,3.66,0.34,0.25,17.65,0,0.92,31,100,64,41,19,46,42,44,26,35,31,50,47,48,61
"Jan Paul van Hecke","D (C)",23,"189 cm","78 kg","-","Brighton","Premier League","NED","-","Light-Hearted","Evasive, Reserved","$56,000 p/w","$56M - $70M","-","Right",23,1987,6.89,0,86.39,290,48,2.17,37,1.68,11,77,0.5,13,0.59,2.53,39,1.77,13,0.59,10,0.45,137,6.21,106,4.8,77.37,31,1.4,22.63,20,0.91,6.21,77.3,1,19,18,0.05,0.86,23,1.04,0,7,0.15,0,0.32,0,0,0,4.12,0.32,0,22.5,0,0.5,48,100,85,27,21,15,23,34,12,26,7,43,62,86,0
"Pedro Henrique","D (C)",28,"188 cm","82 kg","-","Athlético Paranaense","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$9,000 p/w","$9.2M - $11.5M","-","Right",44,3775,7.03,2,82.07,291,72,1.72,59,1.41,13,82,0.31,15,0.36,4.5,75,1.79,20,0.48,13,0.31,326,7.77,256,6.1,78.53,70,1.67,21.47,53,1.26,7.77,79.15,6,16,10,0.14,0.38,44,1.05,0,2,0.03,0,0.05,0,2,0,4.89,0.81,0.36,23.9,0,1.79,60,100,63,37,53,73,79,61,61,62,73,90,91,92,48
"Mees Hilgers","D (C)",22,"183 cm","80 kg","-","FC Twente","Eredivisie","NED (IDN)","-","-","Scouting Required","$7,000 p/w","$10.5M - $17M","-","Right",14,1241,6.87,1,82.73,292,23,1.67,17,1.23,6,74,0.44,3,0.22,2.88,24,1.74,8,0.58,5,0.36,120,8.7,102,7.4,85,18,1.31,15,18,1.31,8.7,83.22,0,8,8,0,0.58,7,0.51,0,1,0.04,0,0.07,0,1,0,3.99,0.42,0.44,22.5,0,1.31,38,100,30,31,54,53,47,24,30,33,51,80,96,86,17
"Xavier Mbuyamba","D (C)",21,"193 cm","85 kg","-","FC Volendam","Eredivisie","NED (COD)","-","-","Scouting Required","$2,100 p/w","$5M - $10M","-","Right Only",17,1530,6.84,0,90,293,24,1.41,21,1.24,3,88,0.18,7,0.41,2.18,29,1.71,13,0.76,12,0.71,139,8.18,106,6.24,76.26,33,1.94,23.74,15,0.88,8.18,77.91,1,11,10,0.06,0.65,32,1.88,0,2,0.08,0,0.12,0,0,0,4.35,0.28,0.47,22.52,0,1.41,13,100,95,20,13,34,17,23,26,32,31,31,81,78,48
"Gian Marco Ferrari","D (C)",31,"189 cm","82 kg","Wnt","Sassuolo","Serie A TIM","ITA","-","-","Scouting Required","$23,000 p/w","$85K","$83K","Left",21,1845,6.74,0,87.86,294,31,1.51,27,1.32,4,87,0.2,3,0.15,2.82,41,2,14,0.68,9,0.44,84,4.1,54,2.63,64.29,30,1.46,35.71,9,0.44,4.1,70.43,0,11,11,0,0.54,26,1.27,0,3,0.1,0,0.15,0,0,0,3.85,0.1,0.15,13.61,0,0.39,3,100,54,13,0,3,8,3,4,1,5,18,14,14,28
"Rodrigo Ely","D (C)",30,"188 cm","83 kg","Wnt","GRE","Campeonato Brasileiro Série A Assaí","BRA (ITA)","-","-","Scouting Required","$12,750 p/w","$3M","$3M","Right",11,978,6.62,1,81.5,295,15,1.38,11,1.01,4,73,0.37,3,0.28,1.07,25,2.3,8,0.74,6,0.55,58,5.34,33,3.04,56.9,25,2.3,43.1,3,0.28,5.34,60.27,0,14,14,0,1.29,8,0.74,1,2,0.13,0.07,0.18,0.09,0,0,6.35,0.09,0,13.44,0,0.18,5,100,43,17,1,3,22,4,5,0,7,17,12,26,0
"Mattia Bani","D (C)",30,"188 cm","79 kg","-","Genoa","Serie A TIM","ITA","-","-","Scouting Required","$27,000 p/w","$2.6M - $5.6M","-","Right Only",19,1609,6.64,0,84.68,296,31,1.73,20,1.12,11,65,0.62,6,0.34,1.94,29,1.62,14,0.78,9,0.5,135,7.55,97,5.43,71.85,38,2.13,28.15,15,0.84,7.55,70.48,1,16,15,0.06,0.89,26,1.45,0,2,0.06,0,0.11,0,0,1,6.04,0.28,0.28,19.83,0,1.12,14,100,47,14,9,21,24,9,12,10,24,32,72,52,17
"Alessio Romagnoli","D (C)",28,"188 cm","78 kg","-","Lazio","Serie A TIM","ITA","-","Resolute","Reserved","$115,000 p/w","$25M - $31M","-","Left",19,1684,6.89,0,88.63,297,28,1.5,22,1.18,6,79,0.32,5,0.27,2.15,34,1.82,10,0.53,7,0.37,113,6.04,74,3.95,65.49,39,2.08,34.51,14,0.75,6.04,68.09,0,13,13,0,0.69,17,0.91,0,0,0,0,0,0,1,1,5.4,0.11,0.11,16.83,0,0.43,37,100,43,24,11,25,37,26,12,8,15,20,46,28,0
"Gianluca Mancini","D (C)",27,"190 cm","82 kg","Wnt","Roma","Serie A TIM","ITA","-","-","Scouting Required","$135,000 p/w","$21M - $33M","-","Right",22,1980,7.02,0,90,298,36,1.64,29,1.32,7,81,0.32,10,0.45,1.57,39,1.77,4,0.18,3,0.14,145,6.59,98,4.45,67.59,47,2.14,32.41,11,0.5,6.59,70.17,3,23,20,0.14,1.05,16,0.73,0,8,0.22,0,0.36,0,1,2,5.91,0.85,0.64,16.25,0,1.5,96,100,49,76,84,95,99,84,85,83,94,90,38,29,89
"Sebastiano Luperto","D (C)",27,"191 cm","75 kg","-","Empoli","Serie A TIM","ITA","-","-","Scouting Required","$49,500 p/w","$4M - $8.2M","-","Left",19,1740,6.83,0,91.58,299,36,1.86,26,1.34,10,72,0.52,6,0.31,6,30,1.55,21,1.09,13,0.67,145,7.5,103,5.33,71.03,42,2.17,28.97,19,0.98,7.5,71.27,2,6,4,0.1,0.31,18,0.93,0,2,0.06,0,0.1,0,0,0,7.76,0.65,0.36,20.54,0,1.5,29,100,43,40,54,42,59,50,53,31,60,55,76,55,17
"Paweł Bochniewicz","D (C)",27,"194 cm","85 kg","-","sc Heerenveen","Eredivisie","POL","-","-","Scouting Required","$3,500 p/w","$160K - $1.6M","-","Left",11,1053,6.85,2,81,300,12,1.03,11,0.94,1,92,0.09,3,0.26,2.4,24,2.05,5,0.43,3,0.26,62,5.3,40,3.42,64.52,22,1.88,35.48,8,0.68,5.3,68.92,0,5,5,0,0.43,16,1.37,0,1,0.08,0,0.09,0,0,0,3.16,0.41,0.51,16.12,0,0.77,55,100,51,63,47,55,64,54,58,43,55,12,35,29,78
"Giangiacomo Magnani","D (C)",28,"191 cm","87 kg","-","Hellas Verona","Serie A TIM","ITA","-","-","Scouting Required","$23,000 p/w","$400K - $4.1M","-","Right",16,1450,6.76,1,85.29,301,22,1.37,17,1.06,5,77,0.31,4,0.25,1.69,21,1.3,17,1.06,15,0.93,96,5.96,71,4.41,73.96,25,1.55,26.04,15,0.93,5.96,74.58,0,13,13,0,0.81,35,2.17,0,2,0.09,0,0.12,0,0,2,3.17,0.55,0.37,20.04,0,0.93,11,100,37,2,19,10,26,1,19,17,39,69,59,38,53
"Alberto Dossena","D (C)",25,"188 cm","77 kg","-","Cagliari","Serie A TIM","ITA","-","-","Scouting Required","$23,000 p/w","$5.8M - $11M","-","Right",13,1228,6.67,3,76.75,302,19,1.39,14,1.03,5,74,0.37,4,0.29,4.75,16,1.17,7,0.51,7,0.51,113,8.28,93,6.82,82.3,20,1.47,17.7,16,1.17,8.28,81.06,1,4,3,0.07,0.29,25,1.83,0,1,0.05,0,0.07,0,0,1,5.86,0,0.15,22.4,0,0.29,0,100,26,0,2,0,0,0,0,1,0,0,92,52,0
"Nicolò Casale","D (C)",25,"191 cm","82 kg","-","Lazio","Serie A TIM","ITA","-","-","Scouting Required","$38,000 p/w","$10M - $16M","-","Right",15,1345,6.91,3,74.72,303,21,1.41,14,0.94,7,67,0.47,1,0.07,4.2,27,1.81,9,0.6,7,0.47,74,4.95,47,3.14,63.51,27,1.81,36.49,11,0.74,4.95,64.21,4,5,1,0.27,0.33,16,1.07,0,1,0.05,0,0.07,0,0,0,6.16,0.24,0.13,14.37,0,0.47,24,100,5,33,17,20,40,22,23,10,23,23,34,10,0
"Martin Erlić","D (C)",25,"192 cm","83 kg","-","Sassuolo","Serie A TIM","CRO","-","-","Scouting Required","$32,000 p/w","$7.6M - $9.4M","-","Right",19,1666,7.01,0,87.68,304,34,1.84,27,1.46,7,79,0.38,9,0.49,5.67,30,1.62,13,0.7,9,0.49,139,7.51,93,5.02,66.91,46,2.48,33.09,23,1.24,7.51,69.36,2,6,4,0.11,0.32,15,0.81,0,2,0.06,0,0.11,0,1,1,3.62,0.95,0.76,23.28,0,1.46,85,100,81,79,80,95,98,85,84,85,92,87,82,84,93
"Alessandro Bastoni","D (C)",24,"190 cm","75 kg","-","Inter","Serie A TIM","ITA","-","Spirited","Evasive, Reserved","$210,000 p/w","$88M - $135M","-","Left",18,1683,7.09,3,80.14,305,29,1.55,20,1.07,9,69,0.48,3,0.16,1.71,47,2.51,6,0.32,4,0.21,124,6.63,94,5.03,75.81,30,1.6,24.19,10,0.53,6.63,74.51,1,17,16,0.05,0.91,14,0.75,0,4,0.14,0,0.21,0,2,0,5.56,0.57,0.75,15.63,0,1.55,87,100,23,95,89,76,63,77,70,79,57,39,45,45,82
"Matteo Gabbia","D (C)",24,"185 cm","78 kg","Trn","VfL Wolfsburg","Bundesliga","ITA","-","-","Scouting Required","$30,500 p/w","$800K - $7.8M","-","Right",13,1206,6.88,2,80.4,306,29,2.16,21,1.57,8,72,0.6,5,0.37,2.64,29,2.16,6,0.45,6,0.45,72,5.37,42,3.13,58.33,30,2.24,41.67,4,0.3,5.37,62.38,1,11,10,0.07,0.82,23,1.72,0,1,0.03,0,0.07,0,0,0,6.19,0.3,0.67,15.25,0,0.9,65,100,62,45,46,52,35,39,34,61,36,50,14,31,71
"Alessandro Buongiorno","D (C)",24,"191 cm","82 kg","Wnt","Torino","Serie A TIM","ITA","-","-","Scouting Required","$30,500 p/w","$18.5M - $30M","-","Left",19,1710,6.93,0,90,307,38,2,32,1.68,6,84,0.32,5,0.26,4.22,40,2.11,11,0.58,9,0.47,156,8.21,105,5.53,67.31,51,2.68,32.69,14,0.74,8.21,70.62,0,9,9,0,0.47,36,1.89,0,3,0.08,0,0.16,0,0,2,3.68,0.44,0.32,19.78,0,1.11,44,100,96,38,27,46,46,40,39,40,42,66,68,79,28
"Caleb Okoli","D (C)",22,"187 cm","76 kg","-","Frosinone","Serie A TIM","ITA (NGA)","-","-","Scouting Required","$21,500 p/w","$9.4M - $11.5M","-","Right",19,1713,6.84,0,90.16,308,36,1.89,28,1.47,8,78,0.42,8,0.42,4,30,1.58,11,0.58,10,0.53,81,4.26,65,3.42,80.25,16,0.84,19.75,16,0.84,4.26,79.49,1,9,8,0.05,0.47,28,1.47,0,2,0.06,0,0.11,0,0,0,3.57,0.35,0.16,18.82,0,0.47,19,100,58,8,6,7,28,8,14,18,16,53,39,43,0
"Giorgio Scalvini","D (C)",20,"194 cm","87 kg","-","Atalanta","Serie A TIM","ITA","-","-","Scouting Required","$30,500 p/w","$71M - $93M","-","Right",20,1812,6.82,2,82.36,309,33,1.64,22,1.09,11,67,0.55,1,0.05,2.54,49,2.43,12,0.6,9,0.45,91,4.52,52,2.58,57.14,39,1.94,42.86,3,0.15,4.52,59.68,1,13,12,0.05,0.65,17,0.84,0,3,0.09,0,0.15,0,0,0,3.73,0.48,0.2,10.09,0,0.94,9,100,11,56,34,9,20,15,9,5,9,30,5,19,0
"Zach Muscat","D (C)",30,"184 cm","76 kg","-","Sp. Farense","Liga Portugal Betclic","MLT (SCO)","-","-","Scouting Required","$2,000 p/w","$22K - $210K","-","Right Only",12,1033,6.59,3,68.87,310,14,1.22,12,1.05,2,86,0.17,1,0.09,1.56,22,1.92,2,0.17,1,0.09,96,8.36,59,5.14,61.46,37,3.22,38.54,16,1.39,8.36,64.55,1,9,8,0.09,0.78,18,1.57,0,3,0.21,0,0.26,0,0,0,4.44,0.33,0.61,20.68,0,1.66,2,100,20,23,9,19,16,5,33,21,40,27,88,69,44
"Samuel Gigot","D (C)",30,"187 cm","83 kg","-","Marseille","Ligue 1 Uber Eats","FRA","-","-","Scouting Required","$46,500 p/w","$14M - $23M","-","Right",25,2253,6.94,1,86.65,311,29,1.16,25,1,4,86,0.16,7,0.28,1.93,65,2.6,6,0.24,5,0.2,152,6.07,117,4.67,76.97,35,1.4,23.03,15,0.6,6.07,78.45,3,15,12,0.12,0.6,23,0.92,0,4,0.14,0,0.16,0,0,0,5.79,0.42,0.12,16.36,0,1.04,44,100,63,35,16,45,55,36,16,15,32,67,44,53,0
"Modibo Sagnan","D (C)",24,"187 cm","83 kg","-","Montpellier","Ligue 1 Uber Eats","BFA (MLI)","-","Balanced","Level-headed","$6,000 p/w","$130K - $4.6M","-","Left",17,1530,6.84,0,90,312,26,1.53,19,1.12,7,73,0.41,6,0.35,2.89,22,1.29,8,0.47,7,0.41,134,7.88,109,6.41,81.34,25,1.47,18.66,25,1.47,7.88,80,1,9,8,0.06,0.53,42,2.47,0,2,0.08,0,0.12,0,1,0,4.41,0.86,0.29,25.36,0,1.59,38,100,49,8,38,59,71,38,54,49,68,92,94,80,17
"Robin Le Normand","D (C)",27,"187 cm","80 kg","-","Real Sociedad","LaLiga EA Sports","ESP (FRA)","-","Fairly Professional","Reserved","$55,000 p/w","$43M - $66M","-","Right Only",23,1861,7.02,0,80.91,313,31,1.5,27,1.31,4,87,0.19,4,0.19,2.58,36,1.74,13,0.63,10,0.48,127,6.14,106,5.13,83.46,21,1.02,16.54,19,0.92,6.14,84.18,4,12,8,0.19,0.58,24,1.16,0,1,0.03,0,0.05,0,0,0,4.06,0.32,0.29,19.08,0,0.97,61,100,80,35,31,32,28,30,10,13,13,23,66,49,34
"Moussa Niakhaté","D (C)",27,"190 cm","82 kg","-","Nottm Forest","Premier League","SEN (FRA)","-","Spirited","Evasive","$83,000 p/w","$17.5M - $27M","-","Left",23,2056,7.01,0,89.39,314,39,1.71,27,1.18,12,69,0.53,6,0.26,4.88,36,1.58,10,0.44,6,0.26,154,6.74,119,5.21,77.27,35,1.53,22.73,25,1.09,6.74,75.65,4,8,4,0.18,0.35,29,1.27,0,1,0.03,0,0.04,0,2,0,3.46,0.81,0.44,20.06,0,1.36,81,100,32,22,61,78,87,58,64,67,77,97,76,56,28
"Ibrahima Konaté","D (C)",24,"194 cm","95 kg","-","Liverpool","Premier League","FRA (MLI)","-","Spirited","Unflappable, Media-friendly","$275,000 p/w","$104M - $158M","-","Right",21,1799,7.2,3,74.96,315,24,1.2,20,1,4,83,0.2,5,0.25,3.43,41,2.05,13,0.65,8,0.4,146,7.3,115,5.75,78.77,31,1.55,21.23,14,0.7,7.3,79.41,2,7,5,0.1,0.35,14,0.7,0,2,0.08,0,0.1,0,1,0,5.25,1.41,0.95,17.7,0,2.55,90,100,69,91,92,97,98,96,92,95,93,99,64,56,65
"Jean-Clair Todibo","D (C)",23,"190 cm","88 kg","-","Nice","Ligue 1 Uber Eats","FRA (GUF)","-","Spirited","Evasive","$26,000 p/w","$64M - $77M","-","Right",16,1440,7.01,0,90,316,30,1.88,23,1.44,7,77,0.44,6,0.38,3.75,42,2.62,8,0.5,7,0.44,101,6.31,79,4.94,78.22,22,1.38,21.78,12,0.75,6.31,77.86,1,8,7,0.06,0.5,11,0.69,0,4,0.13,0,0.25,0,1,1,4.31,0.44,0.44,20.04,0,1.19,56,100,75,75,60,34,24,47,24,31,13,3,57,89,61
"Sikou Niakaté","D (C)",24,"186 cm","83 kg","-","Sp. Braga","Liga Portugal Betclic","MLI (FRA)","-","-","Scouting Required","$11,250 p/w","$9.6M - $15M","-","Left",23,2015,6.99,0,87.61,317,51,2.28,32,1.43,19,63,0.85,6,0.27,4.25,57,2.55,15,0.67,11,0.49,177,7.91,124,5.54,70.06,53,2.37,29.94,13,0.58,7.91,68.42,6,12,6,0.27,0.54,22,0.98,0,1,0.02,0,0.04,0,0,1,4.24,0.78,0.31,18.3,0,1.43,68,100,65,44,58,62,73,58,66,63,67,87,60,77,42
